1;2
0 0 2;0 0 0;1 1 1;1 1 1
0,453205 -0,006410256 -0,261658;0,261658 -0,006410256 -0,453205;0,2487046 -0,1410256 -0,4307691;255 165 0
0,453205 -0,006410256 -0,261658;0,4307691 -0,1410256 -0,2487047;0,2487046 -0,1410256 -0,4307691;255 165 0
0,4307691 -0,1410256 -0,2487047;0,2487046 -0,1410256 -0,4307691;0,126943 -0,3782051 -0,2198717;255 165 0
0,4307691 -0,1410256 -0,2487047;0,2198717 -0,3782051 -0,126943;0,126943 -0,3782051 -0,2198717;255 165 0
0,2198717 -0,3782051 -0,126943;0,126943 -0,3782051 -0,2198717;0,002590656 -0,4551282 -0,004487148;255 165 0
0,2198717 -0,3782051 -0,126943;0,004487148 -0,4551282 -0,002590656;0,002590656 -0,4551282 -0,004487148;255 165 0
0,007772027 0,448718 -0,01346155;-1,85361E-10 0,448718 -0,01554406;-3,212921E-09 0,3910256 -0,26943;255 165 0
0,007772027 0,448718 -0,01346155;0,134715 0,3910256 -0,2333333;-3,212921E-09 0,3910256 -0,26943;255 165 0
0,134715 0,3910256 -0,2333333;-3,212921E-09 0,3910256 -0,26943;-5,622612E-09 0,1538462 -0,4715025;255 165 0
0,134715 0,3910256 -0,2333333;0,2357512 0,1538462 -0,4083332;-5,622612E-09 0,1538462 -0,4715025;255 165 0
0,2357512 0,1538462 -0,4083332;-5,622612E-09 0,1538462 -0,4715025;-6,240481E-09 -0,006410256 -0,523316;255 165 0
0,2357512 0,1538462 -0,4083332;0,261658 -0,006410256 -0,453205;-6,240481E-09 -0,006410256 -0,523316;255 165 0
0,261658 -0,006410256 -0,453205;-6,240481E-09 -0,006410256 -0,523316;-5,931547E-09 -0,1410256 -0,4974093;255 165 0
0,261658 -0,006410256 -0,453205;0,2487046 -0,1410256 -0,4307691;-5,931547E-09 -0,1410256 -0,4974093;255 165 0
0,2487046 -0,1410256 -0,4307691;-5,931547E-09 -0,1410256 -0,4974093;-3,02756E-09 -0,3782051 -0,253886;255 165 0
0,2487046 -0,1410256 -0,4307691;0,126943 -0,3782051 -0,2198717;-3,02756E-09 -0,3782051 -0,253886;255 165 0
0,126943 -0,3782051 -0,2198717;-3,02756E-09 -0,3782051 -0,253886;-6,178653E-11 -0,4551282 -0,005181313;255 165 0
0,126943 -0,3782051 -0,2198717;0,002590656 -0,4551282 -0,004487148;-6,178653E-11 -0,4551282 -0,005181313;255 165 0
-1,85361E-10 0,448718 -0,01554406;-0,007772027 0,448718 -0,01346155;-0,134715 0,3910256 -0,2333333;255 165 0
-1,85361E-10 0,448718 -0,01554406;-3,212921E-09 0,3910256 -0,26943;-0,134715 0,3910256 -0,2333333;255 165 0
-3,212921E-09 0,3910256 -0,26943;-0,134715 0,3910256 -0,2333333;-0,2357512 0,1538462 -0,4083332;255 165 0
-3,212921E-09 0,3910256 -0,26943;-5,622612E-09 0,1538462 -0,4715025;-0,2357512 0,1538462 -0,4083332;255 165 0
-5,622612E-09 0,1538462 -0,4715025;-0,2357512 0,1538462 -0,4083332;-0,261658 -0,006410256 -0,453205;255 165 0
-5,622612E-09 0,1538462 -0,4715025;-6,240481E-09 -0,006410256 -0,523316;-0,261658 -0,006410256 -0,453205;255 165 0
-6,240481E-09 -0,006410256 -0,523316;-0,261658 -0,006410256 -0,453205;-0,2487046 -0,1410256 -0,4307691;255 165 0
-6,240481E-09 -0,006410256 -0,523316;-5,931547E-09 -0,1410256 -0,4974093;-0,2487046 -0,1410256 -0,4307691;255 165 0
-5,931547E-09 -0,1410256 -0,4974093;-0,2487046 -0,1410256 -0,4307691;-0,126943 -0,3782051 -0,2198717;255 165 0
-5,931547E-09 -0,1410256 -0,4974093;-3,02756E-09 -0,3782051 -0,253886;-0,126943 -0,3782051 -0,2198717;255 165 0
-3,02756E-09 -0,3782051 -0,253886;-0,126943 -0,3782051 -0,2198717;-0,002590656 -0,4551282 -0,004487148;255 165 0
