1;2
0 0 2;0 0 0;1 1 1;1 1 1
-0,01295334 -0,5897436 -0,02243585;-0,02243584 -0,5897436 -0,01295335;-0,6192306 -0,5641026 -0,3575131;255 165 0
-0,01295334 -0,5897436 -0,02243585;-0,3575129 -0,5641026 -0,6192306;-0,6192306 -0,5641026 -0,3575131;255 165 0
-0,3575129 -0,5641026 -0,6192306;-0,6192306 -0,5641026 -0,3575131;-0,6282049 0,6282051 -0,3626944;255 165 0
-0,3575129 -0,5641026 -0,6192306;-0,3626943 0,6282051 -0,628205;-0,6282049 0,6282051 -0,3626944;255 165 0
-0,7772021 0,6282051 0;-0,6730767 0,6282051 -0,3886012;-0,6910254 -0,6474359 -0,3989639;255 165 0
-0,7772021 0,6282051 0;-0,7979275 -0,6474359 0;-0,6910254 -0,6474359 -0,3989639;255 165 0
-0,7979275 -0,6474359 0;-0,6910254 -0,6474359 -0,3989639;-0,02692309 -0,6858974 -0,01554406;255 165 0
-0,7979275 -0,6474359 0;-0,03108811 -0,6858974 0;-0,02692309 -0,6858974 -0,01554406;255 165 0
-0,03108811 -0,6858974 0;-0,02692309 -0,6858974 -0,01554406;-0,02243584 -0,5897436 -0,01295335;255 165 0
-0,03108811 -0,6858974 0;-0,02590668 -0,5897436 0;-0,02243584 -0,5897436 -0,01295335;255 165 0
-0,02590668 -0,5897436 0;-0,02243584 -0,5897436 -0,01295335;-0,6192306 -0,5641026 -0,3575131;255 165 0
-0,02590668 -0,5897436 0;-0,7150259 -0,5641026 0;-0,6192306 -0,5641026 -0,3575131;255 165 0
-0,7150259 -0,5641026 0;-0,6192306 -0,5641026 -0,3575131;-0,6282049 0,6282051 -0,3626944;255 165 0
-0,7150259 -0,5641026 0;-0,7253886 0,6282051 0;-0,6282049 0,6282051 -0,3626944;255 165 0
